type,value,description
genre,phim-18,Loại trừ phim 18+
genre,kinh-di,Loại trừ phim kinh dị
slug,ten-phim-cu-the,Loại trừ 1 phim cụ thể theo slug
country,trung-quoc,Loại trừ phim Trung Quốc
list,phim-bo,Loại trừ toàn bộ danh sách phim bộ
