Channel,Logo (optional URL),VTVgo,MyTV,TV360,FPT Play,VTVprime,SCTV Online,HTVm,K+,ClipTV,VieON,Msky,VTVcab,SCTV,K+ (DTH),VTC Digital (DTH),AVG (DTH),AVG (DTT),Notes (optional)
K+ Sport 2,,,yes,yes,yes,,,,,,,,,,,,,,
K+ Kids,,,yes,yes,yes,,,,,,,,,,,,,,
ATV1 An Giang,,,,yes,yes,,,,,,,,,,,,,,
ATV2 An Giang,,yes,,yes,yes,,,,,,,,,,,,,,
ATV3 An Giang,,,,,yes,,,,,,,,,,,,,,
BTV Bắc Ninh,,yes,,yes,yes,,,,,,,,,,,,,,
BTV9 - B Channel,,,yes,,yes,,,,,,,,,,,,,,
Cần Thơ 1,,,yes,yes,yes,,,,,,,,,,,,,,
Cần Thơ 2,,,yes,yes,yes,,,,,,,,,,,,,,
Cần Thơ 3,,,yes,yes,,,,,,,,,,,,,,,
CTV Cà Mau,,,yes,yes,yes,,,,,,,,,,,,,,
CRTV Cao Bằng,,yes,yes,yes,yes,,,,,,,,,,,,,,
DRT Đắk Lắk,,,yes,yes,yes,,,,,,,,,,,,,,
ĐTV Điện Biên,,yes,yes,yes,yes,,,,,,,,,,,,,,
DNRT1 Đà Nẵng,,yes,yes,yes,yes,,,,,,,,,,,,,,
DNRT2 Đà Nẵng,,,yes,yes,yes,,,,,,,,,,,,,,
ĐN1-NRTV Đồng Nai,,yes,yes,yes,yes,,,,,,,,,,,,,,
ĐN2-NRTV Đồng Nai,,yes,yes,yes,yes,,,,,,,,,,,,,,
ĐN3-NRTV Đồng Nai,,,,,,,,,,,,,,,,,,,
THDT1 Đồng Tháp,,yes,yes,yes,yes,,,,,,,,,,,,,,
THDT2 - Miền Tây,,,yes,yes,yes,,,,,,,,,,,,,,
GTV Gia Lai,,yes,yes,yes,yes,,,,,,,,,,,,,,
Hà Nội 1,,yes,yes,yes,yes,,,,,,,,,,,,,,
Hà Nội 2,,yes,yes,yes,,,,,,,,,,,,,,,
Hà Nội 2 UHD,,,,,yes,,,,,,,,,,,,,,
BHT TV Hà Tĩnh,,yes,yes,yes,yes,,,,,,,,,,,,,,
THP Hải Phòng,,,yes,yes,yes,,,,,,,,,,,,,,
THP+ Hải Phòng,,,yes,,yes,,,,,,,,,,,,,,
THP3 Hải Phòng,,,yes,yes,yes,,,,,,,,,,,,,,
Huế TV,,,yes,yes,yes,,,,,,,,,,,,,,
HYTV Hưng Yên,,yes,yes,yes,yes,,,,,,,,,,,,,,
KTV Khánh Hoà,,,yes,yes,yes,,,,,,,,,,,,,,
KTV1 Khánh Hoà,,yes,yes,yes,,,,,,,,,,,,,,,
LTV Lai Châu,,yes,yes,yes,yes,,,,,,,,,,,,,,
LTV1 Lâm Đồng,,,yes,yes,yes,,,,,,,,,,,,,,
LTV2 Lâm Đồng,,,yes,yes,yes,,,,,,,,,,,,,,
LTV3 Lâm Đồng,,,yes,,,,,,,,,,,,,,,,
LSTV Lạng Sơn,,,yes,yes,yes,,,,,,,,,,,,,,
THLC Lào Cai,,yes,yes,yes,yes,,,,,,,,,,,,,,
NTV Nghệ An,,yes,yes,yes,yes,,,,,,,,,,,,,,
NTV Ninh Bình,,yes,yes,yes,yes,,,,,,,,,,,,,,
PTV Phú Thọ,,yes,yes,yes,yes,,,,,,,,,,,,,,
QNgTV Quảng Ngãi,,,yes,yes,yes,,,,,,,,,,,,,,
QTV1 Quảng Ninh,,yes,yes,yes,yes,,,,,,,,,,,,,,
QTV3 Quảng Ninh,,,yes,yes,yes,,,,,,,,,,,,,,
QTTV Quảng Trị,,yes,yes,yes,yes,,,,,,,,,,,,,,
STV Sơn La,,yes,yes,yes,yes,,,,,,,,,,,,,,
TTV1 Tây Ninh,,yes,yes,yes,yes,,,,,,,,,,,,,,
TTV2 Tây Ninh,,yes,yes,yes,yes,,,,,,,,,,,,,,
